OBJECTID,PSMFC_Code,ALPHA5,Common_Name,RecfinTT,TripType_Description,Group
1,5102030100,ABALO,abalone genus                 ,8,Invertebrates,
2,8747020210,ANCDB,deepbody anchovy              ,1,Coastal migratory,
3,8747020000,ANCFM,anchovy family                ,1,Coastal migratory,
4,8747020200,ANCGN,anchovy genus                 ,1,Coastal migratory,
5,8747020101,ANCNO,northern anchovy              ,1,Coastal migratory,
6,8756010206,ARGNT,Pacific argentine             ,,,
7,8837010101,BARPA,Pacific barracuda             ,1,Coastal migratory,
8,8835550000,BFFFM,butterflyfish family          ,3,Bottomfish,
9,5500000000,BIVAL,bivalve class                 ,8,Invertebrates,
10,8850030104,BLKSJ,black skipjack                ,2,Highly migratory,
11,8835620306,BLKSM,blacksmith                    ,3,Bottomfish,
12,8842010203,BLNBY,bay blenny                    ,5,Inshore,
13,8842010204,BLNRP,rockpool blenny               ,3,Bottomfish,
14,8847010301,BOGBY,bay goby                      ,5,Inshore,
15,8847012001,BOGYL,yellowfin goby                ,,,
16,8739010101,BONEF,bonefish                      ,5,Inshore,
17,8850030201,BONPA,Pacific bonito                ,1,Coastal migratory,
18,1000000001,BOTOM,bottomfish (groundfish)       ,3,Bottomfish,groundfish
19,8860030301,BOXSP,spiny boxfish                 ,,,
20,8851030000,BUTFM,butterfish family             ,1,Coastal migratory,
21,8776010101,CARPC,common carp                   ,,,
22,8756020106,CASTG,California smoothtongue       ,3,Bottomfish,
23,8777020105,CATCN,channel catfish               ,,,
24,8827010401,CBFLS,longspine combfish            ,,,
25,8827010402,CBFSS,shortspine combfish           ,,,
26,8784010101,CLNGN,nothern clingfish             ,,,
27,8791030000,CODFM,cod family                    ,3,Bottomfish,
28,8791030401,CODPA,Pacific cod                   ,3,Bottomfish,
29,8791030601,CODTC,Pacific tomcod                ,3,Bottomfish,
30,8835440115,COROM,orangemouth corvina           ,5,Inshore,
31,8835440114,CORSF,shortfin corvina              ,5,Inshore,
32,6188000000,CRABS,true crabs                    ,8,Invertebrates,
33,6188030102,CRBBR,brown rock crab               ,8,Invertebrates,
34,8835440607,CRBCA,California corbina            ,5,Inshore,
35,6188030104,CRBDG,dungeness crab                ,8,Invertebrates,
36,6188030100,CRBGN,cancer genus                  ,8,Invertebrates,
37,6188030105,CRBGR,graceful rock crab            ,8,Invertebrates,
38,6188030101,CRBRR,red rock crab                 ,8,Invertebrates,
39,6188030109,CRBYR,yellow rock crab              ,8,Invertebrates,
40,8835442301,CRKBK,black croaker                 ,3,Bottomfish,
41,8835442401,CRKSF,spotfin croaker               ,5,Inshore,
42,8835441105,CRKYF,yellowfin croaker             ,5,Inshore,
43,8835440201,CROWT,white croaker                 ,5,Inshore,
44,6100000000,CRUST,crustacean subphylum          ,8,Invertebrates,
45,8705020000,CSHFM,cow shark family              ,2,Highly migratory,
46,8792010000,CSKFM,cusk eel family               ,,,
47,8835170105,CTFPE,popeye catalufa               ,,,
48,8708010000,CTSFM,cat shark family              ,3,Bottomfish,
49,8170000000,CUCUM,sea cucumbers                 ,8,Invertebrates,
50,8850020202,CUTLP,Pacific cutlassfish           ,2,Highly migratory,
51,8857030100,DABGN,sanddab genus                 ,3,Bottomfish,
52,8857030111,DABLF,longfin sanddab               ,3,Bottomfish,
53,8857030101,DABPA,Pacific sanddab               ,3,Bottomfish,
54,8857030102,DABSP,speckled sanddab              ,3,Bottomfish,
55,8835620000,DAMFM,damselfish family             ,3,Bottomfish,
56,8835290101,DRADO,dolphinfish                   ,2,Highly migratory,
57,8759040000,DRGFM,dragonfish family             ,,,
58,8835440000,DRMFM,drum family                   ,5,Inshore,
59,8756020000,DSSFM,deepsea smelt family          ,3,Bottomfish,
60,8741000000,EELOR,eel order                     ,,,
61,8793010000,ELPFM,eelpout family                ,,,
62,8713030101,ERYPA,Pacific electric ray          ,,,
63,8857030000,FLLFN,lefteye flounder family       ,3,Bottomfish,
64,8842010000,FLNFM,combtooth blenny family       ,,,
65,8857040102,FLRAR,arrowtooth flounder           ,3,Bottomfish,
66,8857040000,FLRFM,righteye flounder family      ,3,Bottomfish,
67,8857040101,FLRKM,Kamchatka flounder            ,3,Bottomfish,
68,8857041401,FLRST,starry flounder               ,5,Inshore,
69,8857000000,FLTOR,flatfish order                ,3,Bottomfish,
70,8803010107,FLYCA,California flyingfish         ,1,Coastal migratory,
71,8803010000,FLYFM,flyingfish family             ,1,Coastal migratory,
72,8705010000,FRSFM,frill shark family            ,,,
73,8860020203,FTRIG,finescale triggerfish         ,5,Inshore,
74,8835620701,GARIB,garibaldi                     ,3,Bottomfish,
75,8835400000,GNTFM,grunt family                  ,,,
76,8835022901,GNTSB,giant seabass                 ,3,Bottomfish,
77,8847010101,GOBAR,arrow goby                    ,,,
78,8847010201,GOBBE,blackeye goby                 ,,,
79,8847010000,GOBFM,goby family                   ,,,
80,8827010000,GRNFM,greenling family              ,3,Bottomfish,greenling
81,8827010100,GRNGN,greenling genus               ,3,Bottomfish,greenling
82,8827010101,GRNKP,kelp greenling                ,3,Bottomfish,greenling
83,8827010103,GRNMA,masked greenling              ,3,Bottomfish,greenling
84,8827010301,GRNPT,painted greenling             ,3,Bottomfish,greenling
